,timestamps,symbol1,symbol2,pnl,ai_position,vr_position,ratio,beta
11359,2025-02-24 21:20:00,0.3163,1.0746,0.0,1,-1,-0.021727882821858224,0.786744143806389
11360,2025-02-24 21:21:00,0.3164,1.0735,0.0,1,-1,-0.023002286277109874,0.7867320906148352
11361,2025-02-24 21:22:00,0.317,1.0736,0.0,1,-1,-0.024401122861159696,0.7867199660833658
11362,2025-02-24 21:23:00,0.3178,1.0752,0.0,1,-1,-0.024896234930301686,0.7867080247219309
11363,2025-02-24 21:24:00,0.3182,1.0779,0.0,1,-1,-0.023379270445253342,0.7866959425992162
11364,2025-02-24 21:25:00,0.3193,1.0782,0.0,1,-1,-0.025817181632311947,0.7866840291441847
11365,2025-02-24 21:26:00,0.3188,1.0778,0.0,1,-1,-0.024956730841109498,0.786672185937025
11366,2025-02-24 21:27:00,0.3187,1.079,0.0,1,-1,-0.02359857323503245,0.7866603175141135
11367,2025-02-24 21:28:00,0.3195,1.0804,0.0,1,-1,-0.02427549474778834,0.7866482997720424
11368,2025-02-24 21:29:00,0.3192,1.082,0.0,1,-1,-0.02205815066057537,0.7866362310414633
11369,2025-02-24 21:30:00,0.3205,1.0841,0.0,1,-1,-0.02331773319691799,0.786624436879667
11370,2025-02-24 21:31:00,0.32,1.0865,0.0,1,-1,-0.01987986584054313,0.7866116121105657
11371,2025-02-24 21:32:00,0.3204,1.0867,0.0,1,-1,-0.02068004254519551,0.7865988880146422
11372,2025-02-24 21:33:00,0.3207,1.0849,0.0,1,-1,-0.023075392429308006,0.7865866145622761
11373,2025-02-24 21:34:00,0.3202,1.0845,0.0,1,-1,-0.02221835584149856,0.7865739951072505
11374,2025-02-24 21:35:00,0.3208,1.0845,0.0,1,-1,-0.02369231732312982,0.7865613729283978
11375,2025-02-24 21:36:00,0.3214,1.0865,0.0,1,-1,-0.023320974358777558,0.7865490515293129
11376,2025-02-24 21:37:00,0.3216,1.0866,0.0,1,-1,-0.023719558035978805,0.7865369495070943
11377,2025-02-24 21:38:00,0.322,1.087,0.0,1,-1,-0.024330524561622213,0.786524487074426
11378,2025-02-24 21:39:00,0.3217,1.0868,0.0,1,-1,-0.02378275068575486,0.7865121352705353
11379,2025-02-24 21:40:00,0.3212,1.0828,0.0,1,-1,-0.026247959385809594,0.7864998036104899
11380,2025-02-24 21:41:00,0.3216,1.0838,0.0,1,-1,-0.026304968414571195,0.7864873814175831
11381,2025-02-24 21:42:00,0.3217,1.0836,0.0,1,-1,-0.026735274912966123,0.7864750426683907
11382,2025-02-24 21:43:00,0.3203,1.079,0.0,1,-1,-0.027560563208474553,0.7864627035457119
11383,2025-02-24 21:44:00,0.3197,1.0782,0.0,1,-1,-0.026828910861512623,0.7864506066203805
11384,2025-02-24 21:45:00,0.3189,1.0751,0.0,1,-1,-0.027739040964265493,0.7864384540610797
11385,2025-02-24 21:46:00,0.3187,1.073,0.0,1,-1,-0.02920208977763772,0.786426384567915
11386,2025-02-24 21:47:00,0.3175,1.0694,0.0,1,-1,-0.029597273169030602,0.7864146356048812
11387,2025-02-24 21:48:00,0.3161,1.0666,0.0,1,-1,-0.028744957008159266,0.7864026801761878
11388,2025-02-24 21:49:00,0.3166,1.0687,0.0,1,-1,-0.028022317511532502,0.7863903152248581
11389,2025-02-24 21:50:00,0.3161,1.0675,0.0,1,-1,-0.02790424749238618,0.7863781532470013
11390,2025-02-24 21:51:00,0.3158,1.0667,0.0,1,-1,-0.02790863268907362,0.7863659505342365
11391,2025-02-24 21:52:00,0.3164,1.0682,0.0,1,-1,-0.027997388884583696,0.7863537445937961
11392,2025-02-24 21:53:00,0.3173,1.0692,0.0,1,-1,-0.029296576640344463,0.7863414234671694
11393,2025-02-24 21:54:00,0.318,1.0712,0.0,1,-1,-0.029161878148973863,0.7863292591700004
11394,2025-02-24 21:55:00,0.3184,1.073,0.0,1,-1,-0.028472716865632464,0.7863169079766313
11395,2025-02-24 21:56:00,0.3172,1.0715,0.0,1,-1,-0.02690396110514026,0.7863045429516577
11396,2025-02-24 21:57:00,0.3167,1.0706,0.0,1,-1,-0.02650523697352325,0.7862923941298852
11397,2025-02-24 21:58:00,0.3157,1.0656,0.0,1,-1,-0.028701030034395725,0.7862807553078132
11398,2025-02-24 21:59:00,0.3153,1.0653,0.0,1,-1,-0.027986992284913526,0.786269431995447
11399,2025-02-24 22:00:00,0.3134,1.0606,0.0,1,-1,-0.027657708336547793,0.7862575124131742
11400,2025-02-24 22:01:00,0.3105,1.0524,0.0,1,-1,-0.028111343774500308,0.7862457540704811
11401,2025-02-24 22:02:00,0.3039,1.0335,0.0,1,-1,-0.02934248560119479,0.7862343218328219
11402,2025-02-24 22:03:00,0.3086,1.0463,0.0,1,-1,-0.02910142900087609,0.7862229778789612
11403,2025-02-24 22:04:00,0.3084,1.0415,0.0,1,-1,-0.033191102123313776,0.7862119975424563
11404,2025-02-24 22:05:00,0.3119,1.0497,0.0,1,-1,-0.03422219287335848,0.7862008239394487
11405,2025-02-24 22:06:00,0.3091,1.0403,0.0,1,-1,-0.03612874570831748,0.7861901168760187
11406,2025-02-24 22:07:00,0.311,1.0465,0.0,1,-1,-0.03500550946678016,0.7861792785657714
11407,2025-02-24 22:08:00,0.3102,1.0434,0.0,1,-1,-0.03594819031610996,0.7861689140169472
11408,2025-02-24 22:09:00,0.3042,1.0313,0.0,1,-1,-0.03225853374174226,0.7861587947767127
11409,2025-02-24 22:10:00,0.3047,1.0328,0.0,1,-1,-0.0320975524024828,0.7861482348376768
11410,2025-02-24 22:11:00,0.3078,1.0402,0.0,1,-1,-0.032917156567229267,0.7861375139656648
11411,2025-02-24 22:12:00,0.3075,1.0424,0.0,1,-1,-0.030039205890844634,0.7861266244911179
11412,2025-02-24 22:13:00,0.3054,1.039,0.0,1,-1,-0.027920820630053744,0.7861150529117739
11413,2025-02-24 22:14:00,0.304,1.0366,0.0,1,-1,-0.026623261712349855,0.7861032526379796
11414,2025-02-24 22:15:00,0.3048,1.0403,0.0,1,-1,-0.02512809473836719,0.7860913729425354
11415,2025-02-24 22:16:00,0.3046,1.0341,0.0,1,-1,-0.030591284810403074,0.7860802006208465
11416,2025-02-24 22:17:00,0.3036,1.0322,0.0,1,-1,-0.029847070196839964,0.7860685491735466
11417,2025-02-24 22:18:00,0.3028,1.0323,0.0,1,-1,-0.027678095428387395,0.786056204095572
11418,2025-02-24 22:19:00,0.3039,1.0334,0.0,1,-1,-0.02946514603103434,0.7860446193633716
11419,2025-02-24 22:20:00,0.3008,1.0286,0.0,1,-1,-0.026063417956329604,0.7860327465039544
11420,2025-02-24 22:21:00,0.3022,1.0289,0.0,1,-1,-0.02942352240141277,0.7860208868947215
11421,2025-02-24 22:22:00,0.3031,1.0318,0.0,1,-1,-0.028948050579421847,0.7860095008849854
11422,2025-02-24 22:23:00,0.3038,1.0333,0.0,1,-1,-0.029310069863309862,0.7859985308175689
11423,2025-02-24 22:24:00,0.3073,1.0385,0.0,1,-1,-0.03329504382220949,0.7859877613128964
11424,2025-02-24 22:25:00,0.3076,1.042,0.0,1,-1,-0.030698835785348044,0.7859765771202966
11425,2025-02-24 22:26:00,0.3085,1.0423,0.0,1,-1,-0.03270861699241612,0.7859653394075261
11426,2025-02-24 22:27:00,0.307,1.0393,0.0,1,-1,-0.031761360105757586,0.7859550380678201
11427,2025-02-24 22:28:00,0.3065,1.0383,0.0,1,-1,-0.03144418278231753,0.7859445810752572
11428,2025-02-24 22:29:00,0.3072,1.0384,0.0,1,-1,-0.03314195677205989,0.7859343308011401
11429,2025-02-24 22:30:00,0.3077,1.0392,0.0,1,-1,-0.03365105061086893,0.7859243202044066
11430,2025-02-24 22:31:00,0.3108,1.0431,0.0,1,-1,-0.03778436389736406,0.7859143903836768
11431,2025-02-24 22:32:00,0.3105,1.0454,0.0,1,-1,-0.034823918776636376,0.7859037404141049
11432,2025-02-24 22:33:00,0.31,1.0477,0.0,1,-1,-0.03136092315477734,0.7858927601068214
11433,2025-02-24 22:34:00,0.3115,1.0517,0.0,1,-1,-0.031345024276289046,0.7858819404735511
11434,2025-02-24 22:35:00,0.3117,1.0516,0.0,1,-1,-0.03194552476478418,0.7858718425896621
11435,2025-02-24 22:36:00,0.3093,1.0474,0.0,1,-1,-0.029874164078731558,0.7858617936853503
11436,2025-02-24 22:37:00,0.3096,1.0465,0.0,1,-1,-0.03149669974396041,0.7858519096032347
11437,2025-02-24 22:38:00,0.3089,1.0416,0.0,1,-1,-0.03441202734841353,0.7858424204767605
11438,2025-02-24 22:39:00,0.3087,1.0415,0.0,1,-1,-0.03399997209650529,0.7858328571145687
11439,2025-02-24 22:40:00,0.3095,1.0433,0.0,1,-1,-0.03430794568801532,0.7858231531052197
11440,2025-02-24 22:41:00,0.3109,1.0476,0.0,1,-1,-0.03374237770297417,0.7858133607606319
11441,2025-02-24 22:42:00,0.3099,1.0456,0.0,1,-1,-0.033122706080234265,0.785803337623308
11442,2025-02-24 22:43:00,0.3095,1.0449,0.0,1,-1,-0.03277855207017699,0.7857930710026784
11443,2025-02-24 22:44:00,0.309,1.0418,0.0,1,-1,-0.03448020894363879,0.7857832305023321
11444,2025-02-24 22:45:00,0.3067,1.0356,0.0,1,-1,-0.03457947831338937,0.7857733896798585
11445,2025-02-24 22:46:00,0.3062,1.0355,0.0,1,-1,-0.033395056775946896,0.7857634486229746
11446,2025-02-24 22:47:00,0.3057,1.0298,0.0,1,-1,-0.03763149792424991,0.7857541706368988
11447,2025-02-24 22:48:00,0.3052,1.0272,0.0,1,-1,-0.03887394356023188,0.7857450743864557
11448,2025-02-24 22:49:00,0.3031,1.0243,0.0,1,-1,-0.0362768180262677,0.7857359597308783
11449,2025-02-24 22:50:00,0.3055,1.0292,0.0,1,-1,-0.03770225962245599,0.7857271013405214
11450,2025-02-24 22:51:00,0.3068,1.0318,0.0,1,-1,-0.03851618618724828,0.7857186665593348
11451,2025-02-24 22:52:00,0.3042,1.0253,0.0,1,-1,-0.038149396562853655,0.7857102287278112
11452,2025-02-24 22:53:00,0.3012,1.0173,0.0,1,-1,-0.03819621742855028,0.7857016956007353
